system,ndcg@5,precision@5,recall@5,ndcg@10,precision@10,recall@10,ndcg@20,precision@20,recall@20,ap,rr,map,mrr,hit_rate@5,hit_rate@10,hit_rate@20
BM25 Only,0.6650892419178376,0.66,0.11291534391534393,0.6260812813252439,0.618,0.2113703703703704,0.5778868784115894,0.513,0.3511587301587302,0.6406569687466401,0.791508658008658,0.6406569687466401,0.791508658008658,0.88,0.92,0.96
Semantic Only,0.5793829710595476,0.5840000000000001,0.09995767195767195,0.5689890875461338,0.5760000000000001,0.19737037037037042,0.5510257742258742,0.507,0.3473015873015873,0.5692435966748216,0.7101495726495726,0.5692435966748216,0.7101495726495726,0.82,0.88,0.92
Hybrid (50/50),0.6823225447015843,0.68,0.11632275132275133,0.6489866717259397,0.6439999999999999,0.22023280423280425,0.6074082450963092,0.544,0.37196296296296294,0.6420948049430102,0.7961495726495726,0.6420948049430102,0.7961495726495726,0.88,0.92,0.94
